sample,mean_m0,mean_m1,diff,welch_t
3.545000000000000000e+03,-8.128617363344051228e+02,-8.495286624203821475e+02,3.666692608597702474e+01,5.031310851806154449e-01
3.546000000000000000e+03,-6.766302250803857987e+02,-6.395923566878981319e+02,-3.703786839248766682e+01,-4.991614579465230017e-01
3.547000000000000000e+03,-6.517299035369775311e+02,-6.581401273885350065e+02,6.410223851557475427e+00,8.497881463104493827e-02
3.548000000000000000e+03,-5.727073954983923159e+02,-5.817070063694267219e+02,8.999610871034406046e+00,1.233575854429659890e-01
3.549000000000000000e+03,-5.838199356913182783e+02,-6.275668789808917154e+02,4.374694328957343714e+01,5.971149254199856760e-01
3.550000000000000000e+03,-5.311382636655948772e+02,-4.174267515923567089e+02,-1.137115120732381683e+02,-1.544683913043693346e+00
3.551000000000000000e+03,-4.280385852090032017e+02,-6.053503184713375731e+02,1.773117332623343714e+02,2.387016469930713036e+00
3.552000000000000000e+03,-6.212733118971060549e+02,-3.868535031847133610e+02,-2.344198087123926939e+02,-3.139508355964993225e+00
3.553000000000000000e+03,-4.636398713826366702e+02,-5.678471337579617284e+02,1.042072623753250582e+02,1.417559037488646867e+00
3.554000000000000000e+03,-4.364758842443729918e+02,-4.824458598726114928e+02,4.596997562823850103e+01,6.077766168784405343e-01
3.555000000000000000e+03,-5.517170418006430737e+02,-4.702165605095541423e+02,-8.150048129108893136e+01,-1.084313816357520555e+00
3.556000000000000000e+03,-5.377234726688102455e+02,-5.778343949044585770e+02,4.011092223564833148e+01,5.380922114315938032e-01
3.557000000000000000e+03,-5.463665594855305017e+02,-5.533757961783439896e+02,7.009236692813487934e+00,9.429127978115380004e-02
3.558000000000000000e+03,-8.036012861736334116e+02,-7.152101910828025666e+02,-8.839109509083084504e+01,-1.208912700701954446e+00
3.559000000000000000e+03,-7.848745980707395802e+02,-8.962038216560509909e+02,1.113292235853114107e+02,1.507836907732831300e+00
3.560000000000000000e+03,-1.306752411575562576e+02,-2.935031847133758021e+01,-1.013249226862186845e+02,-1.348411928399433801e+00
