sample,mean_class0,mean_class1
47358,1275.25,1237.73
47359,1292.38,1238.85
47360,1198.62,1284.72
47361,1406.9,1297.61
47362,1241.09,1345.98
47363,1300.09,1237.91
47364,1335.1,1363.41
47365,1187.6,1292.89
47366,1327.98,1333.18
47367,1313.57,1328.11
47368,1294.83,1295.12
47369,1179.89,1226.39
47370,1435.55,1350.1
47371,1496.5,1536.26
47372,820.132,816.107
47373,1806.58,1773.7
47374,1232.78,1251.99
47375,2336.64,2355.89
47376,2566.61,2531.65
47377,2241.19,2415.94
47378,-510.644,-627.801
47379,1227.02,1283.78
47380,1280.93,1250.53
47381,2274.25,2323.59
47382,1438.01,1479.99
47383,1852.61,1802.82
47384,1405.03,1442.71
47385,1483.36,1511
47386,1851.34,1777.74
47387,1687.74,1740.71
47388,1557.36,1484.03
47389,1687.4,1656.27
47390,1268.73,1339.96
47391,1438.26,1425.87
47392,1452.16,1446.83
47393,1431.82,1484.54
47394,1126.57,1168.41
47395,1378.92,1385.41
47396,1272.03,1329.05
47397,904.816,925.981
47398,1071.72,1053.04
47399,1226.09,1249.42
47400,1335.86,1272.53
47401,1286.44,1319.77
47402,1071.72,1103.63
47403,1162.94,1118.07
47404,970.427,963.093
47405,1119.19,1133.19
47406,1154.37,1115.49
47407,1077.74,1135.76
47408,1066.05,1037.14
47409,1001.88,1002.87
47410,1057.23,1153.72
47411,1201,1161.36
47412,1026.8,1131.47
47413,1155.9,1125.2
47414,1228.63,1213.51
47415,1152.76,1191.17
47416,1277.97,1272.18
47417,1296.45,1259.64
47418,1298.48,1292.97
47419,1309.58,1329.14
47420,1289.07,1297.44
47421,1356.55,1427.59
47422,1266.44,1261.62
47423,1276.27,1297.18
47424,1302.12,1301.91
47425,1283.14,1309.47
47426,1316.11,1332.92
47427,1280.08,1302.08
47428,1331.62,1301.3
47429,1249.06,1300.02
47430,1224.56,1199.51
47431,1418.26,1428.02
47432,1096.82,1092.55
47433,1187.69,1126.74
47434,1213.88,1140.23
47435,1504.04,1584.37
47436,1181.41,1065.75
47437,1986.63,2076.43
47438,1611.1,1609.79
47439,825.049,889.815
47440,666.872,702.196
47441,2669.69,2630.27
47442,3486.86,3430.23
47443,1867.19,1945.08
47444,780.461,784.15
47445,1539.65,1466.33
47446,1787.76,1837.36
47447,2191.94,2175.66
47448,2042.07,2003.93
47449,1894.06,1944.57
47450,1424.53,1395.72
47451,1257.96,1238.25
47452,1679.6,1690.8
47453,1663.32,1665.55
47454,1500.48,1529.56
47455,1387.66,1430.42
47456,1104.11,1096.85
47457,1363.07,1407.14
47458,1345.95,1328.71
47459,1087.49,1047.71
47460,1373.16,1384.89
47461,1499.63,1397.61
47462,1137.84,1180.61
47463,1085.2,1001.06
47464,894.644,927.785
47465,1189.04,1229.92
47466,1149.37,1155.18
47467,1309.67,1294
47468,1056.13,1105.18
47469,1007.05,1055.18
47470,1079.69,1069.19
47471,1147.51,1187.65
47472,1312.3,1284.72
47473,1270.76,1289.36
47474,1153.78,1183.87
47475,1239.48,1213.85
47476,1287.37,1230
47477,1294.83,1345.89
47478,1379.69,1231.29
47479,1226.51,1341.68
47480,1373.24,1289.45
47481,1290.68,1331.72
47482,1300.17,1338.93
47483,1384.69,1386.52
47484,1323.66,1361.01
47485,1437.58,1480.59
47486,1418.85,1401.3
47487,1442.76,1441.76
47488,1391.22,1381.37
47489,1479.37,1430.77
47490,1418.09,1428.02
47491,1397.57,1386.52
47492,1493.19,1459.63
47493,1371.55,1398.81
47494,1258.38,1324.16
47495,1598.05,1539.18
47496,1522.61,1611.94
47497,950.167,929.847
47498,1919.24,1923.95
47499,1307.8,1368.48
47500,2554.41,2518.42
47501,2599.93,2614.98
47502,2415.3,2533.11
47503,-438.336,-465.009
47504,1369.09,1367.02
47505,1474.97,1386.7
47506,2346.64,2386.3
47507,1608.82,1560.66
47508,1920.34,1891.31
47509,1508.11,1540.81
47510,1644.59,1656.35
47511,1897.96,1873.95
47512,1789.88,1859.18
47513,1663.24,1653.18
47514,1771.49,1808.24
47515,1455.89,1478.96
47516,1499.8,1524.32
47517,1630.35,1555.33
47518,1539.9,1614.35
47519,1282.03,1271.24
47520,1544.31,1500.35
47521,1354.6,1418.22
47522,1096.31,1036.63
47523,1163.87,1142.55
47524,1333.23,1399.41
47525,1440.72,1383.95
47526,1410.29,1407.14
47527,1156.92,1211.02
47528,1247.45,1243.58
47529,1084.19,1134.05
47530,1250.67,1278.8
47531,1228.55,1249.33
47532,1245.58,1244.18
47533,1136.66,1129.58
47534,1198.62,1115.23
47535,1219.65,1262.99
47536,1309.16,1216.6
47537,1188.28,1200.11
47538,1213.46,1231.81
47539,1365.95,1336.01
47540,1265.84,1325.79
47541,1365.11,1338.93
47542,1414.7,1388.59
47543,1354.94,1432.74
47544,1473.19,1452.16
47545,1390.54,1447.09
47546,1482.94,1497.17
47547,1392.91,1416.68
47548,1346.46,1401.3
47549,1469.03,1413.5
47550,1424.53,1431.45
47551,1430.38,1356.37
47552,1398.85,1406.37
47553,1417.41,1366.16
