sample,mean0_minus_mean1
1544,69.3113
1545,-38.3113
1546,-86.5244
1547,37.8699
1548,-20.8506
1549,1.59912
1550,21.0959
1551,-11.4148
1552,47.4668
1553,-38.6628
1554,135.252
1555,-51.6755
1556,-11.1423
1557,35.325
1558,-9.67993
1559,-30.4106
1560,26.6184
1561,-74.1979
1562,5.95654
1563,-7.64551
1564,-27.8706
1565,-14.9556
1566,104.919
1567,-36.6704
1568,-4.19678
1569,61.0986
1570,29.2473
1571,-33.5569
1572,14.7502
1573,-11.2429
1574,-0.105225
1575,-31.5576
1576,-40.4082
1577,54.1589
1578,-57.7307
1579,110.927
1580,-52.8389
1581,50.3779
1582,39.3552
1583,60.0461
1584,-49.8079
1585,102.544
1586,-99.1042
1587,32.7904
1588,-12.9155
1589,-20.9536
1590,-59.6689
1591,9.40417
1592,-42.6089
1593,-15.3499
1594,35.4406
1595,-13.522
1596,-3.47217
1597,65.6134
1598,4.57703
1599,41.8243
1600,42.1936
1601,-64.3727
1602,13.5447
1603,-42.5223
1604,51.708
1605,-82.8651
1606,-40.6057
1607,57.177
1608,33.3121
1609,-49.0092
1610,123.591
1611,-58.9941
1612,57.5878
1613,32.9133
1614,22.7554
1615,-49.5706
1616,55.6545
1617,-57.3203
1618,30.2122
1619,-38.124
1620,-25.5249
1621,-88.9856
1622,30.4529
1623,50.4774
1624,-41.2742
1625,78.3521
1626,-8.14111
1627,76.3052
1628,-46.7905
1629,99.3555
1630,-39.3818
1631,-10.8779
1632,25.8765
1633,-0.916992
1634,-61.4741
1635,59.4497
1636,-106.427
1637,66.0684
1638,-20.8145
1639,-16.522
1640,-18.3618
1641,64.521
1642,25.0625
1643,-0.197998
1644,64.115
1645,-20.6892
1646,-31.2449
1647,65.6221
1648,-47.3832
1649,-11.1774
1650,22.9675
1651,-88.04
1652,46.1339
1653,-46.697
1654,62.7814
1655,4.09106
1656,-15.095
1657,83.978
1658,46.1014
1659,-24.1311
1660,52.335
1661,-56.3754
1662,17.7057
1663,0.804443
1664,-58.9764
1665,-40.7877
1666,31.7244
1667,-45.7896
1668,26.9592
1669,8.46765
1670,38.0553
1671,3.14771
1672,45.4944
1673,50.9663
1674,-7.11426
1675,-28.509
1676,-13.0046
1677,3.77124
1678,-41.8811
1679,60.2754
1680,-112.286
1681,64.5483
1682,-54.4756
1683,78.803
1684,-50.3
1685,67.906
1686,53.0939
1687,-13.9954
1688,130.869
1689,-70.1914
1690,-39.2551
1691,149.971
1692,-148.764
1693,35.6675
1694,-24.8257
1695,-40.7417
1696,27.9041
1697,19.0422
1698,72.3647
1699,-40.6033
1700,47.4355
1701,35.4668
1702,-6.84326
1703,15.7659
1704,55.9429
1705,-72.7715
1706,25.3486
1707,-37.4958
1708,74.6245
1709,-95.5304
1710,54.9758
1711,-20.1981
1712,-0.439697
1713,83.3517
1714,-58.6727
1715,27.8416
1716,88.9423
1717,-70.7747
1718,98.0387
1719,-40.1864
1720,8.72437
1721,-30.6787
1722,0.0472412
1723,54.8569
1724,-73.5133
1725,11.8323
1726,-5.13159
1727,18.7213
1728,38.1907
1729,-23.1809
1730,13.2312
1731,9.41431
1732,0.116089
1733,151.622
1734,-142.221
1735,161.357
1736,-110.435
1737,34.2396
1738,42.6697
1739,-95.2272
1740,13.2119
1741,26.863
1742,-79.4689
1743,72.2231
1744,-52.0358
1745,64.3141
1746,-34.1268
1747,23.7562
1748,118.726
1749,-166.493
1750,164.356
1751,-69.916
1752,71.1055
1753,-71.4287
1754,1.28174
1755,33.8979
1756,-88.3579
1757,80.0928
1758,43.0718
1759,-46.5796
1760,126.208
1761,-35.4946
1762,92.416
1763,49.7334
1764,-59.377
1765,43.7437
1766,-8.95801
1767,4.93555
1768,-19.4126
1769,-55.8491
1770,66.2717
1771,-104.379
1772,96.6306
1773,-14.7537
1774,-21.2722
1775,88.4377
1776,-49.0364
1777,78.8708
1778,-4.4671
1779,6.82532
1780,26.2582
1781,-91.082
1782,86.963
