time_us,mean_m0,mean_m1,diff,welch_t
5.704000000000000181e-01,1.395269095816464323e+04,1.371025032938076401e+04,2.424406287838792196e+02,4.608166500156813505e+00
5.712000000000000410e-01,1.039140620782726000e+04,1.021284848484848408e+04,1.785577229787759279e+02,3.303343069747332272e+00
5.719999999999999529e-01,8.943244264507422486e+03,8.686039525691699964e+03,2.572047388157225214e+02,5.390915824304700621e+00
5.728000000000000869e-01,9.859800269905532332e+03,9.519894598155467975e+03,3.399056717500643572e+02,7.050599659798601593e+00
5.735999999999999988e-01,1.059955735492577514e+04,1.039489855072463797e+04,2.046588042011371726e+02,4.268030500516236003e+00
5.743999999999999106e-01,1.088000000000000000e+04,1.068707246376811599e+04,1.929275362318840052e+02,2.787103485801920577e+00
5.752000000000000446e-01,2.682472334682861037e+04,2.688607114624505994e+04,-6.134779941644956125e+01,-6.650830001005403336e-01
5.759999999999999565e-01,2.966110661268555850e+04,2.964237154150197603e+04,1.873507118358247681e+01,3.116612063457773196e-01
5.767999999999999794e-01,1.692424291497975719e+04,1.683393939393939218e+04,9.030352104036501260e+01,6.730269834332938128e-01
5.776000000000000023e-01,6.250753036437246919e+03,5.994076416337285991e+03,2.566766200999609282e+02,4.278157230270967837e+00
5.784000000000000252e-01,5.677257759784075461e+03,5.444722002635046010e+03,2.325357571490294504e+02,4.061728937255910665e+00
5.792000000000000481e-01,1.199373819163292865e+04,1.177422924901185797e+04,2.195089426210706733e+02,3.180418388487887604e+00
5.799999999999999600e-01,1.525048313090418378e+04,1.517828722002635004e+04,7.219591087783373951e+01,1.505031030185963292e+00
5.807999999999999829e-01,1.461540620782726000e+04,1.440683003952569197e+04,2.085761683015680319e+02,3.990196489183365003e+00
5.816000000000000059e-01,1.507627530364372433e+04,1.494783662714097409e+04,1.284386765027502406e+02,2.465452239775425269e+00
5.824000000000000288e-01,1.419789473684210498e+04,1.406507509881422993e+04,1.328196380278750439e+02,2.637241228489192402e+00
5.831999999999999407e-01,1.159065047233468249e+04,1.149925691699604795e+04,9.139355533863454184e+01,1.667081285171954752e+00
5.840000000000000746e-01,8.810493927125506161e+03,8.619678524374176050e+03,1.908154027513301116e+02,3.788893487384357606e+00
5.847999999999999865e-01,8.406456140350877831e+03,8.224716732542819955e+03,1.817394078080578765e+02,3.749195213273422755e+00
5.855999999999998984e-01,9.431319838056680965e+03,9.211362318840579974e+03,2.199575192161009909e+02,4.652350461451555397e+00
5.864000000000000323e-01,9.527103913630229727e+03,9.353949934123847925e+03,1.731539795063818019e+02,3.556521947046235255e+00
5.871999999999999442e-01,1.573743589743589655e+04,1.570841633728590205e+04,2.901956014999450417e+01,1.455352660665084619e-01
5.880000000000000782e-01,3.122828609986504671e+04,3.117584189723320014e+04,5.244420263184656505e+01,1.286166718774236051e+00
5.887999999999999901e-01,2.834914979757085166e+04,2.816623978919631190e+04,1.829100083745397569e+02,1.645858734159356906e+00
5.896000000000000130e-01,1.135080161943319763e+04,1.111896706192358397e+04,2.318345575096136599e+02,1.871498502189038238e+00
5.904000000000000359e-01,4.005743589743589837e+03,3.822882740447957985e+03,1.828608492956318514e+02,3.552304867469587624e+00
5.912000000000000588e-01,6.909581646423751408e+03,6.721264822134387032e+03,1.883168242893643765e+02,2.549617683639023191e+00
